GP,absref,relmyo,myolevel,Eye,Region,ROI,Layer,c,K,rho,alpha,Z
12-1,6.96,0,EM,LE,SUP,3.4,2,1743.506473,2.878822833,0.968736174,1.27742E-05,1.660087254
12-1,6.96,0,EM,LE,SUP,3.4,3,1635.304442,2.619303208,0.979216994,9.59726E-06,1.600225415
12-1,6.96,0,EM,LE,SUP,3.4,4,1587.040257,2.496141898,0.991152896,5.90211E-06,1.572692752
12-1,6.96,0,EM,LE,SUP,3.6,1,1555.388212,2.598859123,1.073086777,7.84748E-06,1.664148118
12-1,6.96,0,EM,LE,SUP,3.6,2,1811.350101,3.03831087,0.968095834,1.38672E-05,1.688578657
12-1,6.96,0,EM,LE,SUP,3.6,3,1645.865068,2.66253992,0.982554883,1.0525E-05,1.615732336
12-1,6.96,0,EM,LE,SUP,3.6,4,1567.482335,2.472527711,1.00287116,6.85977E-06,1.570586519
12-1,6.96,0,EM,LE,SUP,3.8,1,1549.359143,2.616713717,1.078527232,6.22466E-06,1.678083946
12-1,6.96,0,EM,LE,SUP,3.8,2,1846.520646,3.234415212,0.977991788,1.18108E-05,1.759320431
12-1,6.96,0,EM,LE,SUP,3.8,3,1729.478815,2.830275705,0.964600154,1.09486E-05,1.633492875
12-1,6.96,0,EM,LE,SUP,3.8,4,1609.84427,2.546789736,0.983253243,8.90549E-06,1.57975411
12-1,6.96,0,EM,LE,INF,2,1,1634.316055,2.642559801,1.034584246,3.41646E-06,1.629247401
12-1,6.96,0,EM,LE,INF,2,2,1839.311275,3.071241429,0.946165168,1.22567E-05,1.680897344
12-1,6.96,0,EM,LE,INF,2,3,1854.459296,3.221442939,0.960249896,1.46742E-05,1.749756128
12-1,6.96,0,EM,LE,INF,2,4,1676.113288,2.73096343,0.973511091,9.29914E-06,1.627652626
12-1,6.96,0,EM,LE,INF,2.2,1,1595.455719,2.656415195,1.041911414,5.09872E-06,1.664135823
12-1,6.96,0,EM,LE,INF,2.2,2,1866.727865,3.229485961,0.961963259,1.30241E-05,1.75461751
12-1,6.96,0,EM,LE,INF,2.2,3,1900.066561,3.252487936,0.952569761,1.55448E-05,1.731630275
12-1,6.96,0,EM,LE,INF,2.2,4,1750.434252,2.97900431,0.976424466,1.05438E-05,1.700004111
