GP,Eye,Region,ROI,Layer,Z,K,alpha,c,rho
12-1,LE,INF,4.6,4,1.604108355,2.448188058,1.08759E-05,1523.448405,1.052610025
12-1,LE,INF,4.8,1,1.732798386,3.02958434,8.52943E-06,1751.954043,0.997380484
12-1,LE,INF,4.8,2,1.705379634,2.916587654,1.3141E-05,1709.216813,0.997776294
12-1,LE,INF,4.8,3,1.619778391,2.60284475,8.9325E-06,1605.662776,1.009221262
12-1,LE,INF,4.8,4,1.601357487,2.420689864,9.29441E-06,1499.00403,1.068176405
12-1,LE,SUP,3,1,1.601956303,2.602327329,1.03377E-05,1608.350544,0.999913731
12-1,LE,SUP,3,2,1.620986884,2.803363066,1.41495E-05,1727.81685,0.953936688
12-1,LE,SUP,3,3,1.689102906,3.047141228,1.33865E-05,1801.163676,0.961759148
12-1,LE,SUP,3,4,1.58464759,2.548909791,7.29256E-06,1605.971747,0.988914097
12-1,LE,SUP,3.2,1,1.652777339,2.565659916,4.26972E-06,1544.344961,1.067711991
12-1,LE,SUP,3.2,2,1.706193238,3.032692252,1.24326E-05,1776.292053,0.967725559
12-1,LE,SUP,3.2,3,1.608268833,2.651866764,1.15839E-05,1647.517834,0.979196846
12-1,LE,SUP,3.2,4,1.574921011,2.474146121,5.88996E-06,1570.739017,1.002557455
12-1,LE,SUP,3.4,1,1.652511485,2.59541722,8.03503E-06,1570.902161,1.056117825
12-1,LE,SUP,3.4,2,1.660087254,2.878822833,1.27742E-05,1743.506473,0.968736174
12-1,LE,SUP,3.4,3,1.600225415,2.619303208,9.59726E-06,1635.304442,0.979216994
12-1,LE,SUP,3.4,4,1.572692752,2.496141898,5.90211E-06,1587.040257,0.991152896
12-1,LE,SUP,3.6,1,1.664148118,2.598859123,7.84748E-06,1555.388212,1.073086777
12-1,LE,SUP,3.6,2,1.688578657,3.03831087,1.38672E-05,1811.350101,0.968095834
12-1,LE,SUP,3.6,3,1.615732336,2.66253992,1.0525E-05,1645.865068,0.982554883
12-1,LE,SUP,3.6,4,1.570586519,2.472527711,6.85977E-06,1567.482335,1.00287116
12-1,LE,SUP,3.8,1,1.678083946,2.616713717,6.22466E-06,1549.359143,1.078527232
12-1,LE,SUP,3.8,2,1.759320431,3.234415212,1.18108E-05,1846.520646,0.977991788
12-1,LE,SUP,3.8,3,1.633492875,2.830275705,1.09486E-05,1729.478815,0.964600154
